name,rest_type,dish_liked,rate,votes,location
Waffle Magic,Cafe,"Sandwiches, Blueberry Waffles, Fruit Pancake, Blueberry Pancakes, Belgian Waffles, Chocolate Chip Waffle, Banana Caramel",4.2 /5,592,Indiranagar
Green Hyderabad Biryani House,Casual Dining,"Lassi, Hyderabadi Biryani, Tandoori Chicken, Lemon Chicken, Chicken Dum Biryani, Prawn Biryani, Chicken Boneless Biryani",3.8/5,424,Whitefield
Waffle Stories,Food Court,"Brownie Sundae, Nutella Waffle, Brownie Waffle, Choco Blast Waffles, Eggless Waffle, Chocolate Waffles, Crunchy Waffles",3.9 /5,360,Malleshwaram
Hyderabad Chefs,Casual Dining,"Bamboo Chicken, Hyderabadi Biryani, Ulvacharu Biryani, Spring Roll, Vegetable Biryani, Pot Biryani, Chicken Dum Biryani",4.0 /5,728,Marathahalli
Corner House Ice Cream,Dessert Parlor,"Hot Chocolate Fudge, Chocolate Mousse, Thick Shakes, Vanilla Ice Cream, Brownie Chocolate, Chocolate Malt, Almond Fudge",4.1/5,219,Frazer Town
Keventers,"Beverage Shop, Dessert Parlor","Thick Shakes, Choco Chip Shake, Choco Hazelnut, Chocolate Hazelnut Shake, Oreo Shake, Kit Kat Shake, Butterscotch Shake",4.0 /5,571,Indiranagar
Art of Delight,Dessert Parlor,"Waffles, Blueberry Cheesecake, Brownie Fudge, Vanilla Ice Cream, Freak Shake, Red Velvet Cheesecake, Nutella Cheesecake",4.3 /5,464,Koramangala 5th Block
Empire Restaurant,Casual Dining,"Brain Fry, Butter Chicken, Chicken Manchurian, Mutton Biryani, Chicken Tikka Masala, Chilli Chicken, Shaadi Ki Biryani",4.4 /5,2162,Brigade Road
Shanmukha,Casual Dining,"Onion Kulcha, Hyderabadi Chicken Dum Biryani, Butter Naan, Veg Seekh Kebab, Mushroom Manchurian, Wings, Mutton Biryani",4.0 /5,996,HSR
Beijing Bites,Casual Dining,"Manchow Soup, Dragon Rolls, Crispy Spinach Chicken, Thread Chicken, Chop Suey, American Chopsuey, Honey Chilli Chicken",3.9/5,221,Frazer Town
Chung Wah,Casual Dining,"Jasmine Tea, Spring Roll, Golden Fried Prawns, Hakka Noodles, Hunan Chicken Gravy, Drunken Chicken Wings, Dragon Rolls",4.0 /5,362,Residency Road
Natural Ice Cream,Dessert Parlor,"Coffee Walnut, Chocolate Icecreams, Tender Coconut Ice Cream, Thandai, Mango Ice Cream, Fruit Ice Cream, Custard Apple",4.5/5,940,Koramangala 1st Block
Mainland China,Casual Dining,"Basil Chicken, Chicken Dim Sum, Lunch Buffet, Chicken Tom Yum Soup, Sweet Corn Soup, Singapore Noodles, Chicken Wings",4.4 /5,1554,Indiranagar
Starbucks,Cafe,"Hot Chocolate, Coffee Hazelnut, Caramel Frappuccino, Cappuccino, Mocha Frappuccino, Java Chip Frappuccino, Sandwiches",4.2/5,1355,Koramangala 7th Block
Atty's Bakery,Bakery,"Gooey Brownie, Brownie Chocolate, Chocolate Ganache, Garlic Bread, Salted Caramel Brownie, Plum Cake, Chocolate Cake",4.0/5,73,Frazer Town
Kurtoskalacs,"Dessert Parlor, Quick Bites","Hazelnut Cappuccino, Pancakes, Red Velvet Cake, Nutella Shake, Murgh Ghee Roast, Butter Chicken, Chocolate Icecreams",4.6 /5,342,Koramangala 5th Block
Cream Stone,Dessert Parlor,"Nutella Brownie, Fruit Ice Cream, Ferrero Rocher Ice Cream, Chocolava, Hot Chocolate Fudge, Mango Ice Cream, Waffles",4.2 /5,1023,HSR
XO Belgian Waffle,Dessert Parlor,"Hot Chocolate, Chocolate Overload, Belgian Waffles, Nutella Waffle, Thick Shakes, Caramel Coffee, Vanilla Ice Cream",4.6 /5,834,Koramangala 5th Block
Nando's,Casual Dining,"Peri Peri Chicken, Peri Peri Fries, Peri Peri Drizzle, Burgers, Chicken Breast Burger, Potato Wedges, Murgh Platter",4.3/5,1210,Indiranagar
Pabrai's Fresh & Naturelle Icecreams,Dessert Parlor,"Gur Ice Cream, Nolen Gurer Ice Cream, Pizza, Nolen Gur, Paan Ice Cream, Filter Coffee Ice Cream, Chocolate Hazelnut",4.3/5,324,HSR
Mahjong Room - WelcomHotel Bengaluru,Casual Dining,"Chocolate Cookies, Cocktails, Fudge Sundae, Jasmine Rice, Gong Bao Chicken, Date Pancakes, Tender Coconut Ice Cream",4.6/5,116,Richmond Road
Nagarjuna,Casual Dining,"Mutton Biryani, Chicken Biryani, Chicken 65, Mutton Pepper, Hyderabadi Biryani, Andhra Biryani, Mutton Keema Balls",4.3 /5,1817,Residency Road
Sultans of Spice,Casual Dining,"Jeera Rice, Mutton Chops, Chicken Salad, Vegetable Biryani, Zafrani Mutton Biryani, Mutton Seekh, Mutton Roganjosh",4.5 /5,3471,Koramangala 5th Block
Cucumber Town,Delivery,"Appam, Chicken Biryani, Kizhi Biryani, Kuluki Sarbat, Panneer Butter Masala, Meen Pollichathu, Vellarikka Pattanam",4.2/5,309,BTM
Carnatic,Casual Dining,"Guntur Chicken Biryani, Thali, Andhra Chilli Chicken, Raita, Kothu Paratha, Coconut Mousse, Tender Coconut Payasam",4.2 /5,187,Church Street
Plantain Leaf,Casual Dining,"Chicken Boneless Biryani, Chicken Guntur, Tandoori Chicken, Crispy Chicken, Panner Tikka, Hyderabadi Biryani, Naan",3.9 /5,531,Thippasandra
The Purple Pan,Casual Dining,"Kalmi Kebab, Vegetable Biryani, Chilli Chicken, Dum Biryani, Chicken Biryani, Honey Chilli Potatoes, Chicken Tikka",4.1 /5,500,Rajajinagar
Sharma's Malai & Masala,Casual Dining,"Chicken Biryani, Kulcha, Chicken Chatpata, Panneer Butter Masala, Paneer Lababdar, Tandoori Chicken, Shahi Paneer",4.0 /5,457,Koramangala 1st Block
1441 Pizzeria,Casual Dining,"Hot Chocolate, Masala Lemonade, Gourmet Pizza, Nutella Pizza, Jalapeno Poppers, Thin Crust Pizza, Wood Fire Pizza",4.1/5,129,JP Nagar
Gundappa Donne Biryani,Quick Bites,"Chilli Chicken, Mutton Biryani, Pepper Chicken, Chicken Fry, Donne Chicken Biryani, Chicken Guntur, Chicken Kebab",3.7 /5,163,St. Marks Road
The Chervil,Casual Dining,"Peri Peri Chicken Wings, Mix Grill Sizzler, Fish, Murgh Ghee Roast, Biryani, Caramel Custard, Paneer Tikka Masala",4.2/5,230,JP Nagar
The Grub Central,Cafe,"Barbeque Chicken Pizza, Paneer Pizza, Burgers, Crispy Chicken, Aglio Olio Pasta, Chicken Wings, English Breakfast",4.0/5,797,HSR
Yuan Restaurant,Casual Dining,"Momos, Manchow Soup, Dragon Noodles, Spring Roll, Schezwan Fried Rice, Triple Schezwan Rice, Garlic Butter Noodle",3.7 /5,205,HBR Layout
Midnight Mania,Delivery,"Paneer Tikka Pizza, Veggie Pizza, Chocolate Tart, Peri Peri Chicken Pizza, Pasta, Kit Kat Shake, Margherita Pizza",4.0 /5,731,Koramangala 6th Block
Dadi's Dum Biryani,Casual Dining,"Butter Chicken, Panner Tikka, Chicken Biryani, Chicken Lollipop, Chicken Tikka Masala, Dum Biryani, Tangdi Kabab",4.1 /5,2727,BTM
Khyma Biryani,Casual Dining,"Mutton Biryani, Lemon Tea, Chicken Dry Fry, Kerala Style Biryani, Malabari Biryani, Lemon Chicken, Biryani Combo",3.9/5,240,Kalyan Nagar
New Gongura Grand,Casual Dining,"Andhra Thali, Chicken Lollipop, Mutton Biryani, Chicken Boneless Biryani, Andhra Meal, Hyderabadi Biryani, Raita",3.9 /5,373,HSR
Aniram's,Delivery,"Chilli Chicken, Butter Chicken, Kadhai Paneer, Hyderabadi Chicken Biryani, Jeera Rice, Ghee Rice, Chicken Masala",4.1/5,740,JP Nagar
The Yellow Submarine,"Microbrewery, Casual Dining","Watermelon Feta Salad, Craft Beer, Mutton Biryani, Blueberry Cheesecake, Bbq Pizza, Cocktails, Shitake Mushrooms",4.4/5,2075,Bannerghatta Road
Brownie Heaven,Dessert Parlor,"Filter Coffee, Triple Chocolate, Brownie Chocolate, Vanilla Ice Cream, Brownie Shake, Tiramisu, Chocolate Shake",4.2/5,33,Cunningham Road
Simhapuri Kitchen,Casual Dining,"Hyderabadi Biryani, Gongura Biryani, Butter Naan, Vegetarian, Mutton Biryani, Ghee Karam Dosa, Tandoori Chicken",4.0/5,510,Brookefield
Nanda's,Casual Dining,"Butter Chicken, Andhra Meal, Murgh Ghee Roast, Vegetable Biryani, Butter Naan, Roti, Hyderabadi Chicken Biryani",2.9 /5,362,HSR
Chung's Chinese Corner,Casual Dining,"Chicken Noodle, Rice Noodles, Dragon Rolls, American Chopsuey, Fried Rice Chicken, Chowmein, Clear Chicken Soup",2.7 /5,290,Indiranagar
Pop Hop,Dessert Parlor,"Choco Hazelnut, Belgian Chocolate, Strawberry Sorbet, Mango Sorbet, Mango Cheesecake, Mojito, Belgium Chocolate",4.1/5,205,Jayanagar
Berry'd Alive,Dessert Parlor,"Brownie, Apple Pie, Blackberry Cheesecake, Chocolate Icecreams, Hot Chocolate, Caramel Chocolate, Peach Parfait",4.3/5,1899,Koramangala 5th Block
Canton,Casual Dining,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop",3.6 /5,198,Jayanagar
Haagen Dazs,Dessert Parlor,"Waffles, Cheesecake, Chocolate Bomb, Belgium Chocolate, Ice Cream Sundae, Chocolate Sundae, Chocolate Icecreams",3.9 /5,82,Koramangala 7th Block
Nagarjuna Chimney,Casual Dining,"Chicken Biryani, Andhra Meal, Pepper Chicken, Andhra Thali, Chilli Chicken, Murgh Ghee Roast, Vegetable Biryani",4.0 /5,927,Jayanagar
Wok With Chung,Casual Dining,"Noodles, Drunken Chicken Wings, Chicken Satay, Golden Fried Prawns, Mushroom Manchurian, Spring Roll, Chop Suey",3.8 /5,690,Marathahalli
Al-Bek,Casual Dining,"Biryani, Chicken Shawarama, Chicken Grill, Pepper Chicken, Chicken Shwarma Roll, Chicken Tikka, Punjabi Chicken",4.0 /5,692,Jayanagar
Pizza Hut,Quick Bites,"Tomato Basil Soup, Mushroom Soup, Veg Supreme Pizza, Masala Lemonade, Creamy Mushroom Pasta, Garlic Bread Stick",3.1/5,452,HSR
Al Khansah,Casual Dining,"Chicken Tikka Masala, Chicken Biryani, Mutton Biryani, Chicken Curry, Gajar Ka Halwa, Malai Kebab, Gulab Jamun",3.9/5,370,Bellandur
World of Waffles,Dessert Parlor,"Waffles, Nutella Pancakes, Nutella Waffle, Mexican Fries, Chocolate Fondue, Chocolate Overload, Ferrero Rocher",3.9/5,181,JP Nagar
Sanjha Chulha,Casual Dining,"Vegetable Biryani, Paneer Tikka Masala, Butter Chicken, Faluda, Dal Makhani, Tandoori Chicken, Chicken Biryani",4.0/5,152,Marathahalli
Blistering Barnacles,Pub,"Strawberry Mojito, Cocktails, Chicken Momo, Caramel Custard, Long Island Iced Tea, Spring Roll, Tortilla Chips",3.9 /5,1224,Indiranagar
Buddha Treats,Casual Dining,"Momos, Chilli Chicken, Sweet Corn Chicken Soup, Wonton Soup, Crispy Noodle, Egg Noodles, Chicken Garlic Noodle",4.2 /5,373,Brookefield
Sweet Truth,Delivery,"Cheesecake, Chocolate Decadence, Chocolate Fantasy, Lava Cake, Chocolava Cake, Chocolate Cake, Red Velvet Cake",4.0/5,48,Indiranagar
Sulemani Chichas,"Takeaway, Delivery","Hyderabadi Biryani, Chicken Biryani, Mutton Paya, Mutton Biryani, Vegetable Biryani, Khichda, Tandoori Chicken",4.1/5,361,Koramangala 5th Block
Rayalaseema Chefs,Casual Dining,"Bamboo Chicken, Butter Naan, Mutton Biryani, Paneer Pakora, Chicken Pot Biryani, Ulvacharu Biryani, Jowar Roti",3.9/5,225,Marathahalli
Southern Spice,Casual Dining,"Chicken Guntur, Andhra Meal, Chicken Tikka Masala, Chicken Biryani, Hyderabadi Biryani, Dum Biryani, Lime Soda",2.6 /5,382,Whitefield
Kritunga Restaurant,Casual Dining,"Mushroom Biryani, Bamboo Chicken, Paneer Biryani, Mutton Biryani, Chicken Pot Biryani, Dum Biryani, Ragi Mudde",3.8/5,1972,Marathahalli
Bob's Restaurant,Quick Bites,"Palak Chicken, Mutton Keema Masala, Sarson Ka Saag, Mushroom Masala, Makkai Roti, Palak Paneer, Butter Chicken",4.0/5,330,Jeevan Bhima Nagar
Little Lucknow,Casual Dining,"Shami Kebab, Kadhai Murgh, Butter Chicken, Chicken Biryani, Mughlai Paratha, Paneer Lababdar, Mughlai Chicken",4.0 /5,236,Koramangala 5th Block
Food Springs,Quick Bites,"Honey Chilli Potatoes, Nachos, Lemonade, Hakka Noodles, Babycorn Manchurian, Mushroom Manchurian, Spring Roll",4.0/5,233,Jayanagar
Andhra Ruchulu,Casual Dining,"Paneer Tikka, Bhuna Gosht, Andhra Meal, Chicken Biryani, Chicken Guntur, Chicken Sholey Kebab, Andhra Biryani",4.2/5,1432,JP Nagar
Bahar Cafe,Casual Dining,"Chicken Biryani, Hyderabadi Biryani, Butter Naan, Vegetable Biryani, Ulvacharu Biryani, Mutton Biryani, Raita",4.0/5,903,Marathahalli
Pizza Stop,Quick Bites,"Nachos, Pasta Del Barone, Cheesy Garlic Bread, Thin Crust Pizza, Oreo Milkshake, Tortilla Chips, Manali Pizza",3.9/5,146,Cunningham Road
Cupcake Noggins,"Dessert Parlor, Bakery","Cup Cake, Truffle, Raspberry Cheesecake, Burgers, Blueberry Cheesecake, Chocolate Chocochip, Chocolate Crunch",4.1 /5,723,Koramangala 4th Block
As On Fire,Quick Bites,"Chicken Drumsticks, Wood Fire Pizza, Thin Crust Pizza, Barbeque Chicken, Lime Soda, Veggie Pizza, Bbq Chicken",3.8/5,174,HSR
Donne Biriyani House,Quick Bites,"Donne Biryani, Mutton Biryani, Chicken Kebab, Chilli Chicken, Chicken Biryani, Kshatriya Kebab, Chicken Fries",3.8 /5,278,HSR
Truffles,"Cafe, Casual Dining","Burgers, Pasta, Crunchy Veg Burger, American Cheese Burger, Peri Peri Chicken Burger, Mojito, Chicken Paprika",4.6/5,1308,Indiranagar
Hunger Camp,Casual Dining,"Tandoori Chicken, Chicken Sukha, Chicken Biryani, Neer Dosa, Dal Makhani, Mutton Biryani, Paneer Tikka Masala",4.6/5,319,JP Nagar
Dakshin Spice,Casual Dining,"Mutton Keema Biryani, Panneer Butter Masala, Pot Biryani, Vegetable Biryani, Thali, Dal Makhani, Tangdi Kabab",3.8 /5,384,Marathahalli
An Egg Story,Cafe,"Healthy Breakfast, Burgers, Florentine Omelette, Banana Crepes, English Breakfast, Sandwiches, Chicken Burger",4.0 /5,250,Kalyan Nagar
Firewood Biryani,Quick Bites,"Hariyali Chicken, Rice Kheer, Chicken Kebab, Chicken Biryani, Firewood Biryani, Mutton Biryani, Badam Phirni",3.9 /5,456,Residency Road
Sbarro,Food Court,"Garlic Bread, Chicken Keema Pizza, Bbq Chicken, White Sauce Pasta, Veg Supreme, Paneer Pizza, Capsicum Pizza",2.7 /5,268,Malleshwaram
AB's - Absolute Barbecues,Casual Dining,"Tangdi Chicken, Bbq Buffet, Chocolate Icecreams, Kofta Curry, Mutton Seekh Kabab, Paneer Curry, Mutton Keema",4.9 /5,6490,BTM
Bonsouth,Casual Dining,"Coconut Payassam, Seafood Soup, Fish, Filter Kaapi, Tender Coconut Payasam, Mutton Curry, Mysore Masala Dosa",4.2/5,2616,Koramangala 5th Block
Shakes Theory,Beverage Shop,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Spinach Corn Sandwich, Peri Peri Fries, Paneer Peri Peri",4.5/5,155,Jayanagar
Zaitoon,Casual Dining,"Vegetable Biryani, Barbeque Chicken, Pepper Bbq Chicken, Shawarma, Paneer Tikka, Tomato Soup, Dragon Chicken",4.3 /5,2032,Old Airport Road
Tayabbs,Quick Bites,"Rolls, Beda Roti, Chicken Malai Roll, Peri Peri Chicken, Mutton Baida Roti, Chicken Beda, Chicken Baida Roti",4.0/5,736,Indiranagar
Chulha Chauki Da Dhaba,Casual Dining,"Punjabi Chicken Masala, Tandoori Chicken, Jal-jeera, Sweet Lassi, Masala Soda, Stuffed Kulcha, Lemon Chicken",4.1 /5,426,Marathahalli
China Bowl,Casual Dining,"Roast Pork, Biryani, Pork Ribs, Manchow Soup, Butter Garlic Prawns, Crispy Honey Chilli Chicken, Wonton Soup",3.9 /5,457,Koramangala 6th Block
Happy Brew,Lounge,"Beer, Jalapeno Cheeseballs, Peri Peri Chicken Burger, Burgers, Nachos, Barbecue Chicken Wings, Cheesy Fries",4.0/5,2151,Koramangala 5th Block
Cooking Mom,Casual Dining,"Fish Chilli, Kadhai Paneer, Vegetable Biryani, Chicken Kebab, Veg Thali, Chicken Butter Masala, Butter Naan",2.9 /5,187,Bellandur
Stoned Monkey,Dessert Parlor,"Nachos, Waffles, Hot Chocolate Fudge, Chocolate Icecreams, Tiramisu, Cheesy Garlic Bread, Vanilla Ice Cream",4.1/5,511,Koramangala 6th Block
WTF,Cafe,"Cheesy Pizza, Cheese Pasta, Brownie Milkshake, Peri Peri Chicken, Nachos, Omelette, Peanut Butter Milkshake",4.1 /5,93,Koramangala 5th Block
Savoury - Sea Shell Restaurant,Casual Dining,"Pulpy Grape Juice, Chicken Grill, Tandoori Chicken, Shawarma Roll, Bbq Chicken, Mutton Biryani, Tomato Soup",3.9/5,468,BTM
Behrouz Biryani,Delivery,"Gulab Jamun, Mint Raita, Paneer Subz Biryani, Hyderabadi Biryani, Mutton Biryani, Biryani Box, Basmati Rice",4.0/5,357,Koramangala 8th Block
Juice Junction,Quick Bites,"Sandwiches, Fruit Bowl, Panipuri, Corn Sandwich, Palak Paneer, Arabian Grape Juice, Cheesy Grilled Sandwich",4.0 /5,101,St. Marks Road
Thai Chy,Casual Dining,"Noodles, Watermelon Mint Mojito, Rendang Curry, Chicken Dim Sum, Laksa, Dimsum Platter, Spinach Corn Cheese",4.3/5,367,Indiranagar
Brik Oven,Cafe,"Garlic Bread, Waffles, Brownie Shake, Cookie Monster Shake, Wood Fire Pizza, Big Bang Shake, Mushroom Pizza",4.6/5,2259,Church Street
Sri Sai Mango Tree Restaurant,Casual Dining,"Chicken Biryani, Kastoori Chicken, Mushroom Biryani, Mutton Biryani, Paneer Biryani, Naan, Tandoori Chicken",3.6 /5,337,Bellandur
Bangalore Mandarin,Casual Dining,"Lime Soda, Crispy Chicken, Kung Pao Chicken, Hakka Noodles, Veg Manchow Soup, Clear Soup, Singapore Noodles",4.2/5,970,Indiranagar
Republic Of Noodles - Lemon Tree Premier,Casual Dining,"Noodles, Kaffir Lime, Spring Roll, Long Island Iced Tea, Yellow Thai Curry, Vanilla Ice Cream, Jasmine Rice",4.5/5,550,Ulsoor
The Bawarchi,Casual Dining,"Hyderabadi Biryani, Roti, Chicken Dum Biryani, Pepper Chicken, Chicken Masala, Gongura Chicken, Veg Platter",2.6/5,329,Marathahalli
Thalassery Restaurant,Quick Bites,"Coffee, Kerala Parotta, Thalassery Dum Biriyani, Appam, Noodles, Malabari Biryani, Thalassery Chicken Curry",3.1/5,509,Marathahalli
Navrang Kabab Korner,Casual Dining,"Butter Chicken, Biryani, Pepper Chicken, Chilli Chicken, Kalmi Kabab, Tandoori Chicken, Chicken Malai Tikka",3.7 /5,349,Rajajinagar
Treatley,Delivery,"Paneer Curry, Sandwiches, Dal Makhani, Rice Bowl, Butter Chicken Box, Cheese Paratha, Panneer Butter Masala",3.1 /5,425,Whitefield
Jalsa,Casual Dining,"Mutton Curry, Stuffed Mushroom, Laccha Paratha, Prawn, Multani Paneer Tikka, Butter Chicken, Murgh Patiala",4.2/5,2173,Marathahalli
Imperial Restaurant,Casual Dining,"Chicken Grill, Shawarma, Ghee Rice, Chicken Butter Masala, Mutton Biryani, Tandoori Chicken, Chicken Kebab",3.6 /5,242,Koramangala 6th Block
Pot Biryani,Quick Bites,"Pot Biryani, Paneer Biryani, Tandoori Chicken, Chicken Chettinad, Egg Biryani, Chicken Dum Biryani, Kulcha",2.8/5,297,Electronic City
New Punjabi Food Corner,Quick Bites,"Butter Chicken, Rumali Roti, Ghee Rice, Chicken Biryani, Panneer Butter Masala, Sweet Lassi, Lemon Chicken",4.0/5,960,Electronic City
Swad 'E' Punjab,Casual Dining,"Paneer Tikka, Butter Chicken, Paneer Kofta, Butter Naan, Panneer Butter Masala, Sweet Lassi, Masala Kulcha",3.6/5,216,Electronic City
Kamat's Palate Korner,Casual Dining,"Butter Chicken, Jeera Rice, Dal Makhani, Butter Naan, Tandoori Chicken, Rumali Roti, Panneer Butter Masala",4.1/5,121,Richmond Road
